id,title
679162,2026 Busan Mayoral Election Winner
678779,How many different countries will the US strike in 2026?
540208,Super Bowl Champion 2026
679257,Illinois Democratic Senate Primary Winner
679036,Next French Presidential Election
929696,Perth Glory FC vs. Central Coast Mariners FC
810799,How many Tornadoes in the US in 2025?
691983,Jack Doherty Prison Time?
922544,Will Tesla (TSLA) finish week of December 15 above___?
645468,NHL Calder Memorial Trophy Winner
928043,Bitcoin price on December 20?
642779,Which guests will appear on the UpOnly podcast by December 31?
645291,NHL Hart Memorial Trophy Winner
920522,XRP price on December 19?
701495,What price will Bitcoin hit before 2027?
922452,Will Amazon (AMZN) finish week of December 15 above___?
928120,XRP price on December 20?
902627,Bitcoin price on December 16?
701020,PDC World Darts Championship Winner
801186,Which company has the #3 AI model end of March? (Style Control On)
740712,Will Google (GOOGL) close above ___ end of December?
694985,December Inflation Argentina - Monthly
915727,Who will win the Aster trading competition?
643969,NBA Assists Per Game Leader
931301,ILT20: Abu Dhabi Knight Riders vs MI Emirates (Game 1) - Most Sixes
643394,Which teams will make the NBA Playoffs?
572819,English Premier League – Last Place 
558959,2026 FIFA World Cup Winner 
646248,Which teams will make the NHL Playoffs?
578443,Ligue 1 - Top Goalscorer 
566195,English Premier League Winner 
558952,2026 FIFA World Cup Winner 
702289,What will Apple (AAPL) hit in December 2025?
700017,Will Ventuals launch a token by ___ ?
903309,Will MrBeast hit ___ Billion views by January 31?
670194,Costa Rica Legislative Assembly Election Winner
614019,Oscars 2026: Best Actor Winner
823449,Legia Warszawa vs. Lincoln Red Imps FC
676464,Costa Rica Presidential Election
687500,November Unemployment Rate
683283,Uganda Presidential Election
801816,Which company has the third best AI model end of January?
909058,How many Republican House members not running in 2026?
897333,Critics Choice Awards: Best Editing Winner
541524,NFL Comeback Player of the Year 
907673,CD Atlético Baleares vs. Club Atlético de Madrid
931248,Brentford FC vs. AFC Bournemouth
572703,NFL Worst Team 
914739,Solana price on December 18?
579383,Serie A - Top Goalscorer 
644197,NBA Steals Per Game Leader
645337,NHL Hart Memorial Trophy Winner
900616,Athletic Club vs. RCD Espanyol de Barcelona
906870,Rhode Island Governor Democratic Primary Winner
561594,Next CEO of X?
553839,2026 NHL Stanley Cup Champion 
894375,Celtic FC vs. Aberdeen FC
704247,Ventuals FDV above ___ one day after launch?
700993,PDC World Darts Championship Winner
645102,NHL Art Ross Trophy Winner
549875,Next Prime Minister of the Netherlands
902689,XRP price on December 16?
896105,Ethereum above ___ on December 15?
679269,Illinois Democratic Senate Primary Winner
701859,What price will Pump.fun hit before 2027?
572710,NFL Worst Team 
916081,How high will Trump's approval rating go in 2026?
701793,What price will Ethena hit before 2027?
683281,Uganda Presidential Election
611155,2026 FIDE Candidates Tournament Qualifiers
613800,Oscars 2026: Best Picture Nominations 
520435,Which companies will have a #1 AI model this year?
826833,Chris Paul Next Team?
643862,NBA Points Per Game Leader
701359,What will Trump say in December?
701016,PDC World Darts Championship Winner
659027,2026 Women's NCAA Tournament Winner
561237,Presidential Election Winner 2028
820360,Steam Awards: VR Game of the Year
677003,Which artists will release a new song in 2026?
645294,NHL Hart Memorial Trophy Winner
939695,Mavericks vs. Jazz
566246,La Liga Winner 
645499,NHL Frank J. Selke Trophy Winner
582242,Fantasy Football: Top D/ST
701850,What price will Zcash hit before 2027?
693682,LoL: LPL 2026 Season Winner
900795,Girona FC vs. Club Atlético de Madrid - More Markets
692201,Eurozone GDP growth in Q4 2025?
906597,Gensyn FDV above ___ one day after launch?
690677,Ranger FDV above ___ one day after launch?
922653,Will Opendoor (OPEN) finish week of December 15 above___?
920477,Ethereum price on December 19?
904393,Kansas Governor Republican Primary Winner
753260,Blackburn Rovers FC vs. Sheffield Wednesday FC - More Markets
740723,Will Google (GOOGL) close above ___ end of December?
520433,Which companies will have a #1 AI model this year?
643495,NBA Best Record
572485,Who will Trump nominate as Fed Chair?
631122,Which company has top AI model end of June? (Style Control On)
683280,Uganda Presidential Election
689374,Senators vs. Jets
521948,How much spending will DOGE cut in 2025?
646265,Which teams will make the NHL Playoffs?
902644,Ethereum price on December 16?
566530,Serie A League Winner 
643934,NBA Rebounds Per Game Leader
599306,Michigan Democratic Senate Primary Winner
800638,What price will XRP hit in December?
643484,NBA Best Record
676992,Which artists will release a new song in 2026?
566657,NFL MVP
897250,Who will Petr Yan fight next?
825093,Oklahoma Governor Republican Primary Winner
701360,What will Trump say in December?
703776,NY-07 Democratic Primary Winner
902966,"""The Housemaid"" Opening Weekend Box Office"
635533,Which coalition will form the next Dutch government?
919646,# of views of next MrBeast video on week 1?
814124,Republican 2026 Senate odds hit___ by March 31?
842018,Eurovision Winner 2026
572784,English Premier League – 3rd Place 
701571,What price will Solana hit before 2027?
645281,NHL Hart Memorial Trophy Winner
821034,Steam Awards: Best Soundtrack
922386,Will Apple (AAPL) finish week of December 15 above___?
701760,What price will BNB hit before 2027?
704534,Odds of Newsom Dem Pres Nominee by December 31?
929697,Perth Glory FC vs. Central Coast Mariners FC
645669,NHL James Norris Memorial Trophy Winner
542879,NFL Sacks Leader 
933022,Spurs vs. Knicks
651486,Most popular boy name 2025
700936,PDC World Darts Championship Winner
791732,What price will Hyperliquid hit in December?
939174,US Cremonese vs. SSC Napoli
579358,Serie A - Top 4 Finish 
540225,Super Bowl Champion 2026
579382,Serie A - Top Goalscorer 
612827,December Inflation Argentina - Annual
822866,Who will Trump pardon before 2027?
788463,Kentucky Republican Senate Primary Winner
902156,2026 FIFA World Cup: Which countries qualify?
821011,Steam Awards: Best Game You Suck At
801907,Which soccer players will sign with new clubs in winter window?
572958,NFL Win Totals: Over or Under? 
559687,Democratic Presidential Nominee 2028
701573,What price will Solana hit before 2027?
676906,Richest person on March 31?
614318,Oscars 2026: Best Actress Winner
645369,NHL Hart Memorial Trophy Winner
929679,Next US strike on Syria on...?
921680,What will Steve Bannon say at AmericaFest on December 19?
540585,Who will replace Musk as Tesla CEO?
538337,What price will gold close at in 2025? ($3200-4000)
643486,NBA Best Record
909357,What will be the #2 US Netflix movie this week?
914711,Ethereum price on December 18?
910105,Who will be the next Secretary-General of the UN?
690606,Who will be named in newly released Epstein files?
614070,Oscars 2026: Best Supporting Actor Nominations
904438,Kansas Governor Democratic Primary Winner
700937,PDC World Darts Championship Winner
920851,Western Sydney Wanderers FC vs. Auckland FC - More Markets
920396,Who will Trump talk to in January?
922486,Will Google (GOOGL) finish week of December 15 above___?
586578,Which Parties will be part of next Government of the Netherlands?
922405,Microsoft (MSFT) closes week of Dec 15 at ___?
822822,GSI Pontivy vs. SC Bastia
800644,What price will XRP hit in December?
615013,Oscars 2026: Best Animated Feature Film Nominations 
921157,#1 Grossing App in Play Store on December 19?
642829,Next leader out of power in 2025?
541589,NFL Offensive Rookie of the Year 
692264,Who will announce Presidential run before 2027?
915374,How many dissent at the next Fed meeting?
746247,Middlesbrough FC vs. Blackburn Rovers FC
737246,Nepal House of Representatives Election Winner
561991,Republican Presidential Nominee 2028
702317,What will Apple (AAPL) hit in December 2025?
601823,Brazil Presidential Election
898126,Critics Choice Awards: Best Foreign Language Film Winner
701422,3rd Largest company end of 2025?
643452,NBA Pacific Division Winner
920651,International T20 Series: India vs South Africa (Game 3) - Team Top Batter
642782,Which guests will appear on the UpOnly podcast by December 31?
788826,Yoon Suk Yeol Insurrection Case Prison Time?
643496,NBA Best Record
637018,Nobel Peace Prize Winner 2026
643868,NBA Points Per Game Leader
701494,What price will Bitcoin hit before 2027?
577291,Bundesliga - Top Goalscorer 
676745,Largest Company end of December 2026?
692325,Who will announce Presidential run before 2027?
558935,2026 FIFA World Cup Winner 
582144,English Premier League - Top 4 Finish 
601865,Champions League Top Scorer
842029,Eurovision Winner 2026
541584,NFL Offensive Rookie of the Year 
920064,Big Bash League: Brisbane Heat vs Perth Scorchers (Game 1) - Most Sixes
939323,"Next Gen ATP Finals, Group B: Alexander Blockx vs Justin Engel"
875514,RB Leipzig vs. Bayer 04 Leverkusen
645767,NHL Maurice 'Rocket' Richard Trophy Winner
828830,Blackburn Rovers FC vs. Wrexham AFC
642812,Next leader out of power in 2025?
644405,NBA Win Totals: Over or Under?
847549,Hertha BSC vs. DSC Arminia Bielefeld
613990,Oscars 2026: Best Actor Nominations 
655650,ECB Interest Rates: December 2025
614768,Oscars 2026: Best Film Editing Winner
907789,Michigan Governor Republican Primary Winner
789406,Quebec General Election Winner
920364,#1 song on Spotify this week? (December 18)
939171,Sunderland AFC vs. Leeds United FC
939544,Mavericks vs. Jazz
928842,Milton Keynes Dons FC vs. Oxford United FC
541597,NFL Offensive Rookie of the Year 
678748,How many different countries will Israel strike in 2026?
801112,Which company has the #3 AI model end of December? (Style Control On)
542335,NFL Coach of the Year
740608,Will Apple (AAPL) close above ___ end of December?
787511,Honduras Presidential Election Margin of Victory (New Strikes)
643683,NBA Most Improved Player Winner
788848,What songs will be played at the Super Bowl halftime show?
811719,Sweden Parliamentary Election Winner
896063,Critics Choice Awards: Best Young Actor / Actress Winner
893353,Portsmouth FC vs. Ipswich Town FC
914288,#1 Free App in the US Apple App Store on December 19?
810188,Benin Parliamentary Election Winner
905240,Steelers vs. Lions
850329,SD Eibar vs. Real Valladolid CF
616910,How many Fed rate cuts in 2026?
847547,Hertha BSC vs. DSC Arminia Bielefeld
689372,Panthers vs. Lightning
614855,Oscars 2026: Best Documentary Feature Nominations 
645443,NHL Calder Memorial Trophy Winner
542868,NFL Sacks Leader 
614923,Oscars 2026: Best Costume Design Winner
921256,What will Tucker Carlson say at AmericaFest on December 18?
921135,#1 Free App in Play Store on December 19?
740770,Will Meta (META) close above ___ end of December?
643981,NBA Assists Per Game Leader
587325,Measles cases in U.S. before 2026?
902685,XRP price on December 16?
687178,Incheon Mayoral Election Winner
679263,Illinois Democratic Senate Primary Winner
693568,How high will Polymarket's mindshare go?
